Trimestre,Región,Crecimiento
2018-01-01,San Martín,5.483672212
2018-04-01,San Martín,1.427868045
2018-07-01,San Martín,0.113250283
2018-10-01,San Martín,1.398601399
2019-01-01,San Martín,3.679906542
2019-04-01,San Martín,-1.262135922
2019-07-01,San Martín,3.393665158
2019-10-01,San Martín,-0.689655172
2020-01-01,San Martín,0
2020-04-01,San Martín,-10.66863324
2020-07-01,San Martín,-6.345733042
2020-10-01,San Martín,-0.587606838
2021-01-01,San Martín,0.732394366
2021-04-01,San Martín,16.84094662
2021-07-01,San Martín,8.878504673
2021-10-01,San Martín,3.170338528
2022-01-01,San Martín,2.181208054
2022-04-01,San Martín,0.376825247
2022-07-01,San Martín,2.467811159
2022-10-01,San Martín,-1.354166667
2023-01-01,San Martín,2.40831965
2023-04-01,San Martín,1.454716096
2023-07-01,San Martín,1.727748691
2017-01-01,Tacna,-0.320512821
2017-04-01,Tacna,3.039513678
2017-07-01,Tacna,-0.64
2017-10-01,Tacna,2.65060241
2018-01-01,Tacna,0.803858521
2018-04-01,Tacna,10.32448378
2018-07-01,Tacna,10.78904992
2018-10-01,Tacna,9.780907668
2019-01-01,Tacna,7.177033493
2019-04-01,Tacna,32.35294118
2019-07-01,Tacna,23.0377907
2019-10-01,Tacna,26.58588738
2020-01-01,Tacna,16.96428571
2020-04-01,Tacna,-10.85858586
2020-07-01,Tacna,-8.446544595
2020-10-01,Tacna,-0.225225225
2021-01-01,Tacna,3.562340967
2021-04-01,Tacna,5.722379603
2021-07-01,Tacna,11.09677419
2021-10-01,Tacna,-4.571106095
2022-01-01,Tacna,-0.42997543
2022-04-01,Tacna,-3.697749196
2022-07-01,Tacna,-11.2659698
2022-10-01,Tacna,-2.247191011
2023-01-01,Tacna,-8.328192474
2023-04-01,Tacna,-2.392877017
2023-07-01,Tacna,5.170157068
2017-01-01,Tumbes,2.990264256
2017-04-01,Tumbes,7.800511509
2017-07-01,Tumbes,5.744822979
2017-10-01,Tumbes,5.90043024
2018-01-01,Tumbes,4.388926401
2018-04-01,Tumbes,1.779359431
2018-07-01,Tumbes,4.042956412
2018-10-01,Tumbes,5.455600696
2019-01-01,Tumbes,7.503234153
2019-04-01,Tumbes,5.06993007
2019-07-01,Tumbes,6.375227687
2019-10-01,Tumbes,5.558613099
2020-01-01,Tumbes,-7.521058965
2020-04-01,Tumbes,-18.91292291
2020-07-01,Tumbes,-20.49086758
2020-10-01,Tumbes,-8.18561001
2021-01-01,Tumbes,1.301236174
2021-04-01,Tumbes,25.37619699
2021-07-01,Tumbes,8.39913855
2021-10-01,Tumbes,3.236797274
2022-01-01,Tumbes,8.028259473
2022-04-01,Tumbes,7.583196945
2022-07-01,Tumbes,13.04635762
2022-10-01,Tumbes,2.860286029
2023-01-01,Tumbes,-1.307966706
2023-04-01,Tumbes,-11.46044625
2023-07-01,Tumbes,-5.272407733
2017-01-01,Ucayali,4.099678457
2017-04-01,Ucayali,0.66518847
2017-07-01,Ucayali,4.806312769
2017-10-01,Ucayali,2.774018945
2018-01-01,Ucayali,0.231660232
2018-04-01,Ucayali,4.111600587
2018-07-01,Ucayali,4.31211499
2018-10-01,Ucayali,3.686635945
2019-01-01,Ucayali,4.468412943
2019-04-01,Ucayali,5.077574048
2019-07-01,Ucayali,3.937007874
2019-10-01,Ucayali,3.238095238
2020-01-01,Ucayali,-3.908554572
2020-04-01,Ucayali,-27.58389262
2020-07-01,Ucayali,-12.68939394
2020-10-01,Ucayali,-7.564575646
2021-01-01,Ucayali,5.141980046
2021-04-01,Ucayali,38.64689527
2021-07-01,Ucayali,13.37671728
2021-10-01,Ucayali,3.459747172
2022-01-01,Ucayali,6.423357664
2022-04-01,Ucayali,3.743315508
2022-07-01,Ucayali,2.040816327
